,quantity,date,region,Sales
0,546,2018-02-06,north,1638.0
1,549,2018-02-06,south,1647.0
2,577,2018-02-06,east,1731.0
3,519,2018-02-06,west,1557.0
4,529,2018-02-07,north,1587.0
5,566,2018-02-07,south,1698.0
6,514,2018-02-07,east,1542.0
7,545,2018-02-07,west,1635.0
8,534,2018-02-08,north,1602.0
9,512,2018-02-08,south,1536.0
10,501,2018-02-08,east,1503.0
11,567,2018-02-08,west,1701.0
12,586,2018-02-09,north,1758.0
13,554,2018-02-09,south,1662.0
14,594,2018-02-09,east,1782.0
15,505,2018-02-09,west,1515.0
16,554,2018-02-10,north,1662.0
17,519,2018-02-10,south,1557.0
18,550,2018-02-10,east,1650.0
19,558,2018-02-10,west,1674.0
20,518,2018-02-11,north,1554.0
21,529,2018-02-11,south,1587.0
22,521,2018-02-11,east,1563.0
23,588,2018-02-11,west,1764.0
24,586,2018-02-12,north,1758.0
25,536,2018-02-12,south,1608.0
26,523,2018-02-12,east,1569.0
27,551,2018-02-12,west,1653.0
28,524,2018-02-13,north,1572.0
29,572,2018-02-13,south,1716.0
30,591,2018-02-13,east,1773.0
31,575,2018-02-13,west,1725.0
32,589,2018-02-14,north,1767.0
33,570,2018-02-14,south,1710.0
34,566,2018-02-14,east,1698.0
35,504,2018-02-14,west,1512.0
36,582,2018-02-15,north,1746.0
37,578,2018-02-15,south,1734.0
38,508,2018-02-15,east,1524.0
39,538,2018-02-15,west,1614.0
40,526,2018-02-16,north,1578.0
41,594,2018-02-16,south,1782.0
42,509,2018-02-16,east,1527.0
43,584,2018-02-16,west,1752.0
44,595,2018-02-17,north,1785.0
45,563,2018-02-17,south,1689.0
46,547,2018-02-17,east,1641.0
47,525,2018-02-17,west,1575.0
48,548,2018-02-18,north,1644.0
49,558,2018-02-18,south,1674.0
50,517,2018-02-18,east,1551.0
51,579,2018-02-18,west,1737.0
52,521,2018-02-19,north,1563.0
53,549,2018-02-19,south,1647.0
54,535,2018-02-19,east,1605.0
55,513,2018-02-19,west,1539.0
56,566,2018-02-20,north,1698.0
57,525,2018-02-20,south,1575.0
58,500,2018-02-20,east,1500.0
59,517,2018-02-20,west,1551.0
60,579,2018-02-21,north,1737.0
61,514,2018-02-21,south,1542.0
62,555,2018-02-21,east,1665.0
63,516,2018-02-21,west,1548.0
64,545,2018-02-22,north,1635.0
65,544,2018-02-22,south,1632.0
66,556,2018-02-22,east,1668.0
67,588,2018-02-22,west,1764.0
68,511,2018-02-23,north,1533.0
69,521,2018-02-23,south,1563.0
70,547,2018-02-23,east,1641.0
71,591,2018-02-23,west,1773.0
72,543,2018-02-24,north,1629.0
73,566,2018-02-24,south,1698.0
74,575,2018-02-24,east,1725.0
75,574,2018-02-24,west,1722.0
76,532,2018-02-25,north,1596.0
77,570,2018-02-25,south,1710.0
78,545,2018-02-25,east,1635.0
79,553,2018-02-25,west,1659.0
80,562,2018-02-26,north,1686.0
81,511,2018-02-26,south,1533.0
82,508,2018-02-26,east,1524.0
83,510,2018-02-26,west,1530.0
84,555,2018-02-27,north,1665.0
85,565,2018-02-27,south,1695.0
86,526,2018-02-27,east,1578.0
87,540,2018-02-27,west,1620.0
88,589,2018-02-28,north,1767.0
89,531,2018-02-28,south,1593.0
90,581,2018-02-28,east,1743.0
91,519,2018-02-28,west,1557.0
92,556,2018-03-01,north,1668.0
93,594,2018-03-01,south,1782.0
94,509,2018-03-01,east,1527.0
95,556,2018-03-01,west,1668.0
96,545,2018-03-02,north,1635.0
97,523,2018-03-02,south,1569.0
98,582,2018-03-02,east,1746.0
99,591,2018-03-02,west,1773.0
